site_id,n_observations,share_obs_helped_by_always_tl,share_obs_harmed_by_always_tl,mean_delta_abs_error_always_tl_vs_no_tl,mean_delta_abs_error_selective_vs_no_tl,mean_delta_abs_error_selective_vs_always_tl,selective_partial_rescue_rate,selective_full_rescue_rate,cosine_similarity,months_used,Deep Context LSTM (No TL),Deep Context LSTM (Always TL),Context-Aware Selective Learning,delta_rmse_always_tl_vs_no_tl,delta_rmse_selective_vs_no_tl,delta_rmse_selective_vs_always_tl,always_tl_site_regime,selective_partial_rescue_site,selective_full_rescue_site
43665,23,0.43478260869565216,0.5652173913043478,0.03166584,0.027955437,-0.0037104033,0.5652173913043478,0.0,0.24312799,136,1.1796960830688477,1.1699610948562622,1.1683483123779297,-0.00973498821258545,-0.011347770690917969,-0.0016127824783325195,helped,False,False
43668,37,0.5135135135135135,0.4864864864864865,0.0010086121,-0.012070456,-0.013079068,0.4864864864864865,0.02702702702702703,0.21166012,139,1.4466136693954468,1.497859001159668,1.4685158729553223,0.05124533176422119,0.02190220355987549,-0.029343128204345703,harmed,True,False
43670,37,0.5945945945945946,0.40540540540540543,-0.06925102,-0.056673843,0.012577181,0.3783783783783784,0.0,0.44095296,93,0.9157662391662598,0.8571517467498779,0.8582537770271301,-0.058614492416381836,-0.05751246213912964,0.0011020302772521973,helped,False,False
43676,34,0.4117647058823529,0.5882352941176471,0.06921617,0.030118696,-0.03909747,0.5882352941176471,0.058823529411764705,0.18246551,97,1.0039749145507812,1.1123907566070557,1.062177300453186,0.10841584205627441,0.058202385902404785,-0.05021345615386963,harmed,True,False
43679,37,0.5945945945945946,0.40540540540540543,-0.044373874,-0.0517733,-0.0073994254,0.40540540540540543,0.0,0.38541752,133,0.6286844611167908,0.6176196336746216,0.5882135629653931,-0.01106482744216919,-0.040470898151397705,-0.029406070709228516,helped,False,False
43789,37,0.5675675675675675,0.43243243243243246,-0.03288762,-0.007545407,0.025342213,0.43243243243243246,0.0,0.36315012,118,2.121872901916504,2.092564821243286,2.1129279136657715,-0.029308080673217773,-0.008944988250732422,0.02036309242248535,helped,False,False
43790,37,0.4594594594594595,0.5405405405405406,-0.037980344,-0.039917473,-0.00193713,0.5405405405405406,0.0,0.22643742,116,0.9723034501075745,0.9642569422721863,0.9532142877578735,-0.008046507835388184,-0.019089162349700928,-0.011042654514312744,helped,False,False
43795,37,0.4864864864864865,0.5135135135135135,0.01930911,-0.010046008,-0.02935512,0.5135135135135135,0.02702702702702703,0.18890962,102,1.2242107391357422,1.2414520978927612,1.2097036838531494,0.017241358757019043,-0.014507055282592773,-0.031748414039611816,harmed,True,True
43895,36,0.5555555555555556,0.4444444444444444,-0.04187329,-0.039687283,0.0021860104,0.4444444444444444,0.027777777777777776,0.21671914,129,1.1368495225906372,1.106680989265442,1.1027135848999023,-0.030168533325195312,-0.03413593769073486,-0.003967404365539551,helped,False,False
43927,28,0.4642857142857143,0.5357142857142857,0.032736346,0.0025721523,-0.030164193,0.5357142857142857,0.03571428571428571,0.24106283,138,0.9715315699577332,0.987064778804779,0.9626105427742004,0.015533208847045898,-0.008921027183532715,-0.024454236030578613,harmed,True,True
