model_family,split,rmse,mae,r2,n,budget_label,budget_windows_per_site,effective_train_windows_total,mean_train_windows_per_site,median_train_windows_per_site
Site-Hard Expert Selector,cal,1.5380648560063188,0.9373791217803956,0.2218779921531677,1302,48,48.0,3910,38.333333333333336,48.0
Deep Context LSTM (Always TL),cal,1.5547716894309929,0.9627886414527892,0.2048819661140442,1302,48,48.0,3910,38.333333333333336,48.0
Deep Context LSTM (No TL),cal,1.5795705236936717,0.966583490371704,0.1793150901794433,1302,48,48.0,3910,38.333333333333336,48.0
Random Forest,cal,1.5873051369164433,0.9690393068409632,0.1712582332914717,1302,48,48.0,3910,38.333333333333336,48.0
Baseline LSTM (TL),cal,1.7588771732336688,1.1550488471984863,-0.0175820589065551,1302,48,48.0,3910,38.333333333333336,48.0
Baseline LSTM (No TL),cal,1.77027079304978,1.1652649641036987,-0.0308079719543457,1302,48,48.0,3910,38.333333333333336,48.0
Deep Context LSTM (Always TL),test,2.114652122042659,1.0525318384170532,0.1999517083168029,2034,48,48.0,3910,38.333333333333336,48.0
Site-Hard Expert Selector,test,2.115457426165255,1.0507440567016602,0.1993422508239746,2034,48,48.0,3910,38.333333333333336,48.0
Context-Aware Selective Learning,test,2.119004711943388,1.0472755432128906,0.1966547966003418,2034,48,48.0,3910,38.333333333333336,48.0
Deep Context LSTM (No TL),test,2.1532574218423672,1.0660463571548462,0.1704735159873962,2034,48,48.0,3910,38.333333333333336,48.0
Random Forest,test,2.203899289960624,1.069703932383404,0.1309958278363268,2034,48,48.0,3910,38.333333333333336,48.0
Baseline LSTM (No TL),test,2.3712454783427197,1.244853138923645,-0.0059846639633178,2034,48,48.0,3910,38.333333333333336,48.0
Baseline LSTM (TL),test,2.3779210648585964,1.2583519220352173,-0.0116567611694335,2034,48,48.0,3910,38.333333333333336,48.0
Context-Aware Selective Learning,val,1.369599400166799,0.9189795851707458,0.1909822225570678,1703,48,48.0,3910,38.333333333333336,48.0
Site-Hard Expert Selector,val,1.3703989730223167,0.9213569760322572,0.1900373101234436,1703,48,48.0,3910,38.333333333333336,48.0
Deep Context LSTM (Always TL),val,1.3718763329710166,0.924490749835968,0.188289999961853,1703,48,48.0,3910,38.333333333333336,48.0
Deep Context LSTM (No TL),val,1.3755736888170635,0.9225046038627625,0.1839088201522827,1703,48,48.0,3910,38.333333333333336,48.0
Random Forest,val,1.3955966242620756,0.93675170258507,0.1599778042745547,1703,48,48.0,3910,38.333333333333336,48.0
Baseline LSTM (TL),val,1.5232129053695116,1.0640578269958496,-0.0006729364395141,1703,48,48.0,3910,38.333333333333336,48.0
Baseline LSTM (No TL),val,1.5269966999510434,1.0681142807006836,-0.0056507587432861,1703,48,48.0,3910,38.333333333333336,48.0
Context-Aware Selective Learning,cal,1.5301953011570868,0.8971603512763977,0.2298202514648437,1302,72,72.0,5269,51.65686274509804,64.0
