site_id,cell_id,cosine_similarity,months_used,selector_rmse_no_tl,selector_rmse_always_tl,calibration_margin_no_tl_vs_always_tl,selected_expert,selected_parent,use_transfer,selected_selector_rmse,selector_policy,selector_margin_threshold,selector_overlap_threshold_months
44097,37373,0.28943396,99,1.0808239,1.0253241,-0.055499792,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.0253241,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
44112,12080,0.31867003,132,1.1220406,1.0675391,-0.054501534,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.0675391,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
44146,55441,0.27259827,132,1.096778,1.0560718,-0.040706277,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.0560718,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
44149,55441,0.30257556,106,1.3102114,1.3170394,0.0068279505,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.3170394,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
44206,55078,0.24830751,130,0.9715932,1.0109315,0.03933829,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.9715932,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
44253,75352,0.3049412,132,1.0885742,1.1816624,0.09308827,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.0885742,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
45749,132086,0.4988636,76,1.0540992,1.0467718,-0.0073274374,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.0467718,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
45751,43958,0.3287965,76,0.66507536,0.61182845,-0.053246915,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.61182845,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
45753,132086,0.5529411,74,0.82329917,0.8293398,0.0060406327,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.8293398,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
51239,90243,0.20031135,88,1.2020862,1.2088193,0.00673306,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.2088193,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
53459,81796,0.3218619,119,0.92914593,0.8504649,-0.07868105,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.8504649,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
53466,67575,0.24747165,139,1.1702756,1.0800673,-0.09020829,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.0800673,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
53515,26769,0.23297462,98,0.5922066,0.752654,0.16044742,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.5922066,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
53523,22247,0.28795466,131,31.426092,31.664648,0.23855591,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,31.426092,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
53802,89709,0.37748873,132,1.2434077,1.2069324,-0.0364753,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.2069324,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
59106,55441,0.21107996,137,1.0093299,0.87892544,-0.13040447,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.87892544,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
59114,55441,0.40539858,86,0.7508267,0.7617003,0.010873556,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.7617003,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
64365,69646,0.31156734,137,1.1544441,1.1649493,0.010505199,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.1649493,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
64379,66225,0.15278533,142,1.052202,1.1201645,0.06796253,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.052202,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
