site_id,driver_code,driver,lag,corr,n_overlap,coverage_months
29419,pr_a,Precipitation anomaly,1,-0.24778805312736427,135,136
29419,sm_a,Soil moisture anomaly,1,-0.11617877862112667,135,136
29465,tsmp_wtda,TSMP wtda,1,-0.11524696029013479,76,77
29465,pr_a,Precipitation anomaly,1,-0.06088250238435701,76,77
29465,sm_a,Soil moisture anomaly,1,0.12489025341918317,76,77
29476,tsmp_wtda,TSMP wtda,1,0.026372615818101013,121,122
29476,pr_a,Precipitation anomaly,1,0.019442568322899347,121,122
29476,sm_a,Soil moisture anomaly,1,0.06535686697080305,121,122
29532,tsmp_wtda,TSMP wtda,1,0.061538559323180114,119,120
29532,pr_a,Precipitation anomaly,1,0.10275577887668944,119,120
29532,sm_a,Soil moisture anomaly,1,-0.1441972990990481,119,120
29570,tsmp_wtda,TSMP wtda,1,0.045490452419012686,110,111
29570,pr_a,Precipitation anomaly,1,0.18198283732922518,110,111
29570,sm_a,Soil moisture anomaly,1,-0.03352185162961271,110,111
29581,tsmp_wtda,TSMP wtda,1,-0.4833184075003983,34,35
29581,pr_a,Precipitation anomaly,1,0.13132087785370428,34,35
29581,sm_a,Soil moisture anomaly,1,0.21232161728690632,34,35
29599,tsmp_wtda,TSMP wtda,1,0.06737483156800773,124,125
29599,pr_a,Precipitation anomaly,1,0.23080283142327607,124,125
29599,sm_a,Soil moisture anomaly,1,-0.09702104047301721,124,125
29655,tsmp_wtda,TSMP wtda,1,-0.12357138117974792,77,78
29655,pr_a,Precipitation anomaly,1,0.1217463314119337,77,78
29655,sm_a,Soil moisture anomaly,1,-0.07741322484127139,77,78
29680,tsmp_wtda,TSMP wtda,1,-0.23309680697743762,118,119
29680,pr_a,Precipitation anomaly,1,0.27929786246379174,118,119
29680,sm_a,Soil moisture anomaly,1,0.2522018607623184,118,119
29698,tsmp_wtda,TSMP wtda,1,0.23457837622490943,29,30
29698,pr_a,Precipitation anomaly,1,-0.21232150855193666,29,30
29698,sm_a,Soil moisture anomaly,1,-0.2833363925147983,29,30
29708,tsmp_wtda,TSMP wtda,1,-0.12981201738908826,118,119
29708,pr_a,Precipitation anomaly,1,-0.042525727568905304,118,119
29708,sm_a,Soil moisture anomaly,1,0.08020009409516314,118,119
29740,tsmp_wtda,TSMP wtda,1,-0.1613171722821306,89,90
29740,pr_a,Precipitation anomaly,1,0.10314757162482163,89,90
29740,sm_a,Soil moisture anomaly,1,0.03218902849907602,89,90
29756,tsmp_wtda,TSMP wtda,1,-0.05831510911021656,124,125
29756,pr_a,Precipitation anomaly,1,-0.006752752400094636,124,125
29756,sm_a,Soil moisture anomaly,1,0.024605896512446764,124,125
29794,tsmp_wtda,TSMP wtda,1,0.046103171065680765,97,98
29794,pr_a,Precipitation anomaly,1,0.32751409104695656,97,98
29794,sm_a,Soil moisture anomaly,1,-0.17805972478185883,97,98
29812,tsmp_wtda,TSMP wtda,1,0.2064544723692541,130,131
29812,pr_a,Precipitation anomaly,1,0.27890876106542034,130,131
29812,sm_a,Soil moisture anomaly,1,-0.08462548843126817,130,131
29828,tsmp_wtda,TSMP wtda,1,0.004666530545807787,60,61
29828,pr_a,Precipitation anomaly,1,0.03655230532418049,60,61
29828,sm_a,Soil moisture anomaly,1,0.019826589238834944,60,61
29829,tsmp_wtda,TSMP wtda,1,0.18659185062533104,121,122
29829,pr_a,Precipitation anomaly,1,0.10313037051989994,121,122
29829,sm_a,Soil moisture anomaly,1,-0.1981660809153453,121,122
29848,tsmp_wtda,TSMP wtda,1,-0.03716334929581358,129,130
29848,pr_a,Precipitation anomaly,1,-0.011463694588128227,129,130
29848,sm_a,Soil moisture anomaly,1,-0.08075525521574747,129,130
