site_id,well_id,gmw_bro_id,tube_number,n_gld_series,max_observations_meta,sum_observations_meta,first_date_meta,last_date_meta,lon,lat,index_right,use_obj_type,use_obj_id,facility_bro_id,distance_to_use_m,tube_rank_within_well_meta,actual_observation_rows,actual_first_date,actual_last_date,downloaded_gld_count,tube_rank_within_well_actual
31257,24356,GMW000000032849,1,2,284,321,1979-11-15,2025-04-03,4.85327389057895,52.391703895946286,7078,realised_well,517931,,46.057175299918136,1,,,,0,1
31324,24422,GMW000000032915,1,2,479,506,1953-12-12,2025-04-14,4.875260499917479,52.36164715578111,2791,facility_point,GUF000000032571,GUF000000032571,33.99971284132018,1,,,,0,1
31343,24440,GMW000000032933,1,2,190,216,1987-09-28,2025-03-18,4.9121788898703835,52.35924850547758,2882,facility_point,GUF000000011145,GUF000000011145,34.92898977306518,1,,,,0,1
31403,24498,GMW000000032991,1,2,179,179,1984-02-16,2020-12-07,4.939896088622724,52.30230236527694,8189,design_well,549790,,39.386370681605065,1,,,,0,1
31425,24520,GMW000000033013,1,2,170,182,1998-01-16,2022-12-05,4.867050809949742,52.363166255848114,7937,design_well,542504,,26.963081669622774,1,,,,0,1
31482,24576,GMW000000033069,1,2,183,190,1996-04-24,2022-06-16,4.937216869664199,52.34970250527615,3089,facility_point,GUF000000000359,GUF000000000359,47.675673755348015,1,,,,0,1
31515,24608,GMW000000033101,1,2,282,330,1975-01-06,2025-01-27,4.874103169772484,52.3550900757941,7392,realised_well,112350,,31.733189386117935,1,,,,0,1
31528,24621,GMW000000033114,1,2,114,137,2002-12-03,2025-05-08,4.938349799849804,52.358128295262475,3096,facility_point,GUF000000083572,GUF000000083572,13.037437623975245,1,,,,0,1
31541,24634,GMW000000033127,1,2,190,202,1990-06-05,2022-12-30,4.927582119708285,52.35177759535448,3025,facility_point,GUF000000026477,GUF000000026477,26.926684034542056,1,,,,0,1
31543,24636,GMW000000033129,1,2,182,204,1989-10-17,2025-03-28,4.89375829989119,52.36032359562902,2883,facility_point,GUF000000013900,GUF000000013900,31.3991834320092,1,,,,0,1
