site_id,well_id,gmw_bro_id,tube_number,distance_to_use_m,use_obj_type,use_obj_id,tube_rank_within_well_meta,gld_bro_id,gld_observations_meta,gld_first_date_meta,gld_last_date_meta,series_unknown_csv_url,series_preliminary_csv_url,series_fully_assessed_csv_url,bro_csv_url
29570,22733,GMW000000031226,1,36.61995631801076,facility_point,GUF000000025194,1,GLD000000100271,223,1979-05-04,2020-11-12,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100271?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100271?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100271?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100271
29570,22733,GMW000000031226,1,36.61995631801076,facility_point,GUF000000025194,1,GLD000000103500,12,2021-01-19,2022-12-14,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000103500?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000103500?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000103500?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000103500
29581,22744,GMW000000031237,1,37.12065976510059,facility_point,GUF000000014058,1,GLD000000100838,63,2009-03-05,2020-11-17,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100838?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100838?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100838?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100838
29581,22744,GMW000000031237,1,37.12065976510059,facility_point,GUF000000014058,1,GLD000000105002,11,2021-01-27,2022-12-28,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000105002?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000105002?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000105002?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000105002
29599,22762,GMW000000031255,1,38.469669401206176,facility_point,GUF000000004499,1,GLD000000098983,238,1978-12-08,2020-03-03,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000098983?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000098983?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000098983?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000098983
29599,22762,GMW000000031255,1,38.469669401206176,facility_point,GUF000000004499,1,GLD000000103656,27,2021-01-08,2025-03-05,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000103656?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000103656?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000103656?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000103656
29655,22815,GMW000000031308,1,48.91729647809073,realised_well,128669,1,GLD000000101181,218,1978-09-19,2020-11-09,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101181?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101181?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101181?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000101181
29655,22815,GMW000000031308,1,48.91729647809073,realised_well,128669,1,GLD000000104567,13,2021-01-15,2023-01-25,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000104567?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000104567?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000104567?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000104567
29680,22840,GMW000000031333,1,37.8014860380425,design_well,546573,1,GLD000000098816,153,1990-05-09,2020-11-24,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000098816?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000098816?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000098816?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000098816
29680,22840,GMW000000031333,1,37.8014860380425,design_well,546573,1,GLD000000100348,4,2021-03-29,2021-10-04,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100348?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100348?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100348?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000100348
