site_id,model_family,rmse,mae,n
30919,Context-Aware Selective Learning,1.047520399093628,0.8349069952964783,14
30919,Deep Context LSTM (Always TL),1.0665117502212524,0.8749340772628784,14
30919,Site-Hard Expert Selector,1.0665117502212524,0.8749340772628784,14
30919,Random Forest,1.106155940723844,0.892608435793143,14
30981,Deep Context LSTM (Always TL),3.0002009868621826,2.2501769065856934,13
30981,Site-Hard Expert Selector,3.0002009868621826,2.2501769065856934,13
30981,Context-Aware Selective Learning,3.023836374282837,2.2915916442871094,13
30981,Deep Context LSTM (No TL),3.3829739093780518,2.7586123943328857,13
30981,Random Forest,3.9008551174777133,3.375663194396947,13
30981,Baseline LSTM (No TL),4.507122993469238,4.050476551055908,13
30981,Baseline LSTM (TL),4.533054828643799,4.091863632202148,13
31008,Random Forest,1.1618228358709222,0.9324974477490694,14
31008,Deep Context LSTM (Always TL),1.1831810474395752,0.9771108627319336,14
31008,Deep Context LSTM (No TL),1.2081536054611206,0.9656370282173157,14
31008,Site-Hard Expert Selector,1.2081536054611206,0.9656370282173157,14
31008,Context-Aware Selective Learning,1.210252285003662,0.9878968596458435,14
31008,Baseline LSTM (No TL),1.265273094177246,1.0608460903167725,14
31008,Baseline LSTM (TL),1.2854734659194946,1.089163064956665,14
31022,Deep Context LSTM (Always TL),0.821516752243042,0.6717821955680847,14
31022,Site-Hard Expert Selector,0.821516752243042,0.6717821955680847,14
31022,Context-Aware Selective Learning,0.8380106091499329,0.6912068724632263,14
31022,Random Forest,0.8495623790131389,0.6564160479403692,14
31022,Deep Context LSTM (No TL),0.8723159432411194,0.724783718585968,14
31022,Baseline LSTM (No TL),0.8870537281036377,0.7634758353233337,14
31022,Baseline LSTM (TL),0.9365084171295166,0.8014353513717651,14
31032,Deep Context LSTM (No TL),0.9868500232696533,0.7624562978744507,15
31032,Baseline LSTM (TL),0.9922890663146973,0.8357507586479187,15
31032,Baseline LSTM (No TL),1.0212225914001465,0.8756542205810547,15
31032,Context-Aware Selective Learning,1.023449420928955,0.8360435962677002,15
31032,Deep Context LSTM (Always TL),1.0437357425689697,0.8612688779830933,15
31032,Site-Hard Expert Selector,1.0437357425689697,0.8612688779830933,15
31032,Random Forest,1.0535083463210968,0.8865017252504472,15
31064,Deep Context LSTM (No TL),1.0063519477844238,0.8780865669250488,23
31064,Random Forest,1.1630188605871636,1.0306049017627388,23
31064,Context-Aware Selective Learning,1.2267385721206665,1.0870896577835083,23
31064,Deep Context LSTM (Always TL),1.2365868091583252,1.0972254276275635,23
31064,Site-Hard Expert Selector,1.2365868091583252,1.0972254276275635,23
31064,Baseline LSTM (TL),1.6498206853866577,1.4968502521514893,23
31064,Baseline LSTM (No TL),1.6964870691299438,1.5373467206954956,23
31247,Deep Context LSTM (Always TL),17.978361129760742,16.999454498291016,13
31247,Site-Hard Expert Selector,17.978361129760742,16.999454498291016,13
31247,Context-Aware Selective Learning,18.704998016357422,17.638011932373047,13
31247,Deep Context LSTM (No TL),19.316125869750977,18.30698013305664,13
31247,Random Forest,20.207473211931553,19.254399839496706,13
31247,Baseline LSTM (No TL),20.813583374023438,19.88072967529297,13
31247,Baseline LSTM (TL),20.827157974243164,19.879905700683594,13
31257,Baseline LSTM (No TL),0.7160266637802124,0.6118236780166626,38
31257,Deep Context LSTM (No TL),0.728995144367218,0.6066312789916992,38
31257,Site-Hard Expert Selector,0.728995144367218,0.6066312789916992,38
31257,Baseline LSTM (TL),0.7347826957702637,0.5992147326469421,38
31257,Context-Aware Selective Learning,0.7522361278533936,0.6179742813110352,38
31257,Deep Context LSTM (Always TL),0.7921941876411438,0.6333536505699158,38
31257,Random Forest,0.8154643210261399,0.69431974883769,38
31324,Deep Context LSTM (No TL),0.6235549449920654,0.49747350811958313,26
31324,Context-Aware Selective Learning,0.6514475345611572,0.5394681692123413,26
31324,Deep Context LSTM (Always TL),0.7284157872200012,0.6160075068473816,26
31324,Site-Hard Expert Selector,0.7284157872200012,0.6160075068473816,26
31324,Random Forest,0.8225440206889206,0.6961307472571137,26
31324,Baseline LSTM (TL),1.118529200553894,0.9741397500038147,26
31324,Baseline LSTM (No TL),1.1928571462631226,1.0497984886169434,26
31343,Random Forest,1.404475982833195,1.2493698305000627,15
31343,Context-Aware Selective Learning,1.415299654006958,1.2645790576934814,15
31343,Deep Context LSTM (No TL),1.4217963218688965,1.2825391292572021,15
31343,Site-Hard Expert Selector,1.4217963218688965,1.2825391292572021,15
31343,Deep Context LSTM (Always TL),1.4387441873550415,1.2666971683502197,15
31343,Baseline LSTM (TL),1.4827500581741333,1.3659244775772095,15
31343,Baseline LSTM (No TL),1.4852030277252197,1.3763073682785034,15
31403,Deep Context LSTM (Always TL),2.0749502182006836,1.355390191078186,17
31403,Site-Hard Expert Selector,2.0749502182006836,1.355390191078186,17
31403,Context-Aware Selective Learning,2.1530063152313232,1.4114928245544434,17
31403,Deep Context LSTM (No TL),2.1957688331604004,1.4575172662734985,17
31403,Random Forest,2.2324607667686993,1.4838548259272084,17
31403,Baseline LSTM (No TL),2.2790215015411377,1.47821843624115,17
31403,Baseline LSTM (TL),2.3319034576416016,1.5419843196868896,17
31425,Deep Context LSTM (No TL),2.555875062942505,2.0848493576049805,16
31425,Deep Context LSTM (Always TL),2.586080551147461,2.1885616779327393,16
31425,Site-Hard Expert Selector,2.586080551147461,2.1885616779327393,16
31425,Context-Aware Selective Learning,2.5893025398254395,2.179649829864502,16
31425,Random Forest,2.6311139060047792,2.2189098526991797,16
31425,Baseline LSTM (No TL),3.1151063442230225,2.8320398330688477,16
31425,Baseline LSTM (TL),3.119630813598633,2.8087549209594727,16
31482,Deep Context LSTM (No TL),2.0972938537597656,1.9913605451583862,18
31482,Context-Aware Selective Learning,2.123851776123047,1.9908303022384644,18
31482,Deep Context LSTM (Always TL),2.124021291732788,1.9910303354263306,18
31482,Site-Hard Expert Selector,2.124021291732788,1.9910303354263306,18
31482,Random Forest,2.1323329403137516,1.9922336482267784,18
31482,Baseline LSTM (TL),2.716665506362915,2.613572835922241,18
31482,Baseline LSTM (No TL),2.7712981700897217,2.6749041080474854,18
31515,Context-Aware Selective Learning,0.9142212867736816,0.7210710048675537,18
31515,Deep Context LSTM (No TL),0.9358964562416077,0.7911757230758667,18
31515,Deep Context LSTM (Always TL),0.9577473402023315,0.7222417593002319,18
31515,Site-Hard Expert Selector,0.9577473402023315,0.7222417593002319,18
31515,Baseline LSTM (TL),1.0413658618927002,0.7797642946243286,18
31515,Random Forest,1.0581604189037563,0.778255475291177,18
31515,Baseline LSTM (No TL),1.0822076797485352,0.7879886031150818,18
31528,Deep Context LSTM (No TL),1.5037859678268433,1.2484488487243652,18
31528,Baseline LSTM (TL),1.5281420946121216,1.2305914163589478,18
31528,Context-Aware Selective Learning,1.539009928703308,1.2514137029647827,18
31528,Deep Context LSTM (Always TL),1.5469632148742676,1.2550768852233887,18
31528,Site-Hard Expert Selector,1.5469632148742676,1.2550768852233887,18
31528,Baseline LSTM (No TL),1.5646098852157593,1.2338091135025024,18
31528,Random Forest,1.5842989696135672,1.2647095263955228,18
31541,Deep Context LSTM (Always TL),1.1642407178878784,1.0076532363891602,19
31541,Context-Aware Selective Learning,1.1797282695770264,1.0259666442871094,19
31541,Random Forest,1.1847672074034266,1.0652323305049836,19
31541,Deep Context LSTM (No TL),1.1956405639648438,1.0479567050933838,19
31541,Site-Hard Expert Selector,1.1956405639648438,1.0479567050933838,19
31541,Baseline LSTM (No TL),1.1999074220657349,1.0051963329315186,19
31541,Baseline LSTM (TL),1.2382880449295044,1.0520365238189697,19
31543,Deep Context LSTM (Always TL),1.2979028224945068,1.0338976383209229,17
31543,Context-Aware Selective Learning,1.3794530630111694,1.0991148948669434,17
31543,Deep Context LSTM (No TL),1.405712604522705,1.1333707571029663,17
31543,Site-Hard Expert Selector,1.405712604522705,1.1333707571029663,17
31543,Random Forest,1.5903360499933274,1.3053914119224344,17
31543,Baseline LSTM (No TL),2.0784854888916016,1.8740580081939697,17
31543,Baseline LSTM (TL),2.1313467025756836,1.936963677406311,17
31567,Baseline LSTM (TL),1.1515450477600098,0.8435149192810059,19
31567,Baseline LSTM (No TL),1.1611626148223877,0.8660604357719421,19
31567,Deep Context LSTM (Always TL),1.210394024848938,0.916214108467102,19
31567,Context-Aware Selective Learning,1.2189550399780273,0.9285019040107727,19
31567,Deep Context LSTM (No TL),1.2303533554077148,0.9385440349578857,19
31567,Site-Hard Expert Selector,1.2303533554077148,0.9385440349578857,19
31567,Random Forest,1.2834634510026706,0.9504503876308431,19
31593,Baseline LSTM (TL),1.6780290603637695,1.2917115688323975,15
31593,Baseline LSTM (No TL),1.689243197441101,1.2864595651626587,15
31593,Deep Context LSTM (Always TL),1.702331781387329,1.3059309720993042,15
31593,Site-Hard Expert Selector,1.702331781387329,1.3059309720993042,15
31593,Context-Aware Selective Learning,1.7029825448989868,1.30045485496521,15
31593,Deep Context LSTM (No TL),1.703735113143921,1.2902090549468994,15
31593,Random Forest,1.7158571852555269,1.2536205582080797,15
31631,Deep Context LSTM (No TL),0.7639487385749817,0.5869836807250977,18
31631,Site-Hard Expert Selector,0.7639487385749817,0.5869836807250977,18
31631,Context-Aware Selective Learning,0.7666334509849548,0.5933520793914795,18
31631,Deep Context LSTM (Always TL),0.7952113747596741,0.622704267501831,18
31631,Random Forest,0.802640689021032,0.574279481978029,18
31631,Baseline LSTM (TL),0.8606680631637573,0.689037024974823,18
31631,Baseline LSTM (No TL),0.892205536365509,0.7435987591743469,18
31642,Deep Context LSTM (No TL),1.5054807662963867,0.9738101363182068,26
31642,Context-Aware Selective Learning,1.5141454935073853,0.9918013215065002,26
31642,Deep Context LSTM (Always TL),1.5409460067749023,1.0301434993743896,26
31642,Site-Hard Expert Selector,1.5409460067749023,1.0301434993743896,26
31642,Random Forest,1.5920709391692243,1.016940738105753,26
31642,Baseline LSTM (TL),1.6471275091171265,1.0450870990753174,26
31642,Baseline LSTM (No TL),1.6502530574798584,1.0353858470916748,26
31683,Random Forest,5.397145121321065,2.0469389541550336,17
31683,Baseline LSTM (No TL),5.4256768226623535,2.2554125785827637,17
31683,Baseline LSTM (TL),5.447885513305664,2.312814474105835,17
31683,Deep Context LSTM (Always TL),5.5223069190979,2.3428213596343994,17
31683,Site-Hard Expert Selector,5.5223069190979,2.3428213596343994,17
31683,Context-Aware Selective Learning,5.524118900299072,2.348043203353882,17
31683,Deep Context LSTM (No TL),5.530182361602783,2.3314452171325684,17
31688,Deep Context LSTM (Always TL),0.42298656702041626,0.3009069561958313,18
31688,Site-Hard Expert Selector,0.42298656702041626,0.3009069561958313,18
31688,Context-Aware Selective Learning,0.4497829079627991,0.3137935996055603,18
31688,Random Forest,0.5104318267236346,0.42800520819617566,18
31688,Deep Context LSTM (No TL),0.5463953018188477,0.4175499677658081,18
31688,Baseline LSTM (TL),0.5600740909576416,0.525826096534729,18
31688,Baseline LSTM (No TL),0.6086530089378357,0.5795782208442688,18
31696,Deep Context LSTM (Always TL),2.037785768508911,1.3130741119384766,18
31696,Site-Hard Expert Selector,2.037785768508911,1.3130741119384766,18
31696,Context-Aware Selective Learning,2.0496432781219482,1.3475483655929565,18
31696,Deep Context LSTM (No TL),2.1221182346343994,1.485656976699829,18
31696,Random Forest,2.2186545908425686,1.6358142036158065,18
31696,Baseline LSTM (No TL),2.598007917404175,1.9808616638183594,18
31696,Baseline LSTM (TL),2.6777076721191406,2.0661935806274414,18
31792,Deep Context LSTM (Always TL),3.644111156463623,3.2549021244049072,13
31792,Site-Hard Expert Selector,3.644111156463623,3.2549021244049072,13
31792,Context-Aware Selective Learning,3.6508822441101074,3.269212245941162,13
31792,Deep Context LSTM (No TL),4.032130718231201,3.6992223262786865,13
31792,Random Forest,4.70711668902375,4.457777466696585,13
31792,Baseline LSTM (No TL),5.432345390319824,5.2144598960876465,13
31792,Baseline LSTM (TL),5.468933582305908,5.2507195472717285,13
31854,Baseline LSTM (No TL),1.0983011722564697,0.8825100064277649,19
31854,Deep Context LSTM (Always TL),1.0985043048858643,0.8700727224349976,19
31854,Random Forest,1.1050623876916226,0.8884636825693979,19
31854,Baseline LSTM (TL),1.1102118492126465,0.8861282467842102,19
