model_family,target_month_of_year,n,rmse,mae,bias,median_abs_error,p90_abs_error,target_mean,target_std
Context-Aware Selective Learning,11,1369.0,2.0091376271970613,0.7420800168752953,-0.28521033231008436,0.4734686017036438,1.338135433197022,0.4681440354040004,2.272632765760733
Site-Hard Expert Selector,11,1369.0,2.0106716323086595,0.7446867740155899,-0.27171099379555297,0.4771633446216583,1.3630524158477786,0.4681440354040004,2.272632765760733
Deep Context LSTM (No TL),11,1369.0,2.0147678253679002,0.7538351495794468,-0.3228795709662613,0.5022388100624084,1.341376829147339,0.4681440354040004,2.272632765760733
Random Forest,11,1369.0,2.1332448730982483,0.8556134768872582,-0.14860842689882672,0.5861847400665283,1.5782545328140258,0.4681440354040004,2.272632765760733
Baseline LSTM (No TL),11,1369.0,2.2812949454454885,0.9868512862845656,-0.05992516701928101,0.6479414105415344,1.8301721811294558,0.4681440354040004,2.272632765760733
Baseline LSTM (TL),11,1369.0,2.305605603342974,0.9860274397527936,-0.40043149669188666,0.6691219806671143,1.8121316194534303,0.4681440354040004,2.272632765760733
Deep Context LSTM (Always TL),12,1335.0,1.155235874208291,0.6918023794931307,-0.05500592835917232,0.4697134792804718,1.3917835950851454,0.28147506815344725,1.4778952210099465
Context-Aware Selective Learning,12,1335.0,1.1760763030579369,0.7115155637916526,-0.19429648111535983,0.5025522708892822,1.4228892087936402,0.28147506815344725,1.4778952210099465
Site-Hard Expert Selector,12,1335.0,1.1834768630313373,0.7196295195960262,-0.1422304706055015,0.516916036605835,1.464578151702881,0.28147506815344725,1.4778952210099465
Deep Context LSTM (No TL),12,1335.0,1.2149901178884144,0.7595031921978523,-0.34834008291921814,0.5558508634567261,1.4967602491378786,0.28147506815344725,1.4778952210099465
Random Forest,12,1335.0,1.2838260572310405,0.7867151612115934,0.12923510906457455,0.5518937706947327,1.5989550828933718,0.28147506815344725,1.4778952210099465
Baseline LSTM (No TL),12,1335.0,1.4889206984341,0.939312842750594,0.12133884229575204,0.661083459854126,1.8913589477539066,0.28147506815344725,1.4778952210099465
Baseline LSTM (TL),12,1335.0,1.4918200108259951,0.9190087527315715,-0.20825860023721773,0.6384793519973755,1.8486981868743897,0.28147506815344725,1.4778952210099465
