site_id,cell_id,cosine_similarity,months_used,sim_mean,sim_std,sim_max,sim_min,sim_q90,sim_q95,train_rows,wtda_mean,wtda_std,pr_a_mean,pr_a_std,sm_a_mean,sm_a_std,tsmp_wtda_mean,tsmp_wtda_std,pumping_log_mean,pumping_log_std,lon_norm,lat_norm,max_observations,sim_top3_mean,sim_top3_std,sim_top5_mean,sim_top5_std,sim_top10_mean,sim_top10_std,selector_rmse_no_tl,selector_rmse_always_tl,selector_rmse_random_forest,selector_rmse_selective_learning,selector_rmse_selective_learning_oof,selector_observations,selector_gamma_mean,selector_gamma_std,selector_gamma_oof_mean,selector_gamma_oof_std,upper_envelope_share,upper_envelope_share_oof,selected_expert,selected_expert_count,selector_model,selected_parent,use_transfer,selected_selector_rmse,selector_gain_vs_no_tl,selector_gain_vs_no_tl_oof
29756,81796,0.2620216,76,0.016091537129101562,0.08238725455313714,0.2620216,-0.21120532,0.11767391360000005,0.14062728749999998,68,0.1133471759739626,0.8930531569876584,-0.0039129076,0.13500178,-0.001252546,0.18328579,-0.034597788,0.16184926,10.321704483108547,0.06937936849123776,0.11564899528651396,-0.3971659640136722,286,0.2403327866666667,0.022677993618048176,0.22586668,0.025491466072418242,0.209668587,0.024455817989381054,1.1400156,1.1934446,1.2058718645028408,1.1224749,1.1343552,11,0.46811733,0.24544919,0.6389995,0.25456315,0.5454545454545454,0.7272727272727273,Deep Context LSTM (No TL),5,hgb_env,Deep Context LSTM (No TL),False,1.1224749,-0.017540693,-0.0056604147
29794,36514,0.26495233,69,0.0023405619417578125,0.07355807221399831,0.26495233,-0.22137631,0.09557425650000001,0.12572575649999998,61,0.2666581218219942,1.127220137401877,-0.03011389,0.13983405,-0.029386722,0.16660152,-0.0154563105,0.156525,9.208590761431019,0.16887107803768098,0.6082147343326406,0.07464582486490842,21190,0.24509092,0.026332714494850334,0.222027018,0.036661998786731084,0.20065758100000003,0.033346671733467725,0.949415,1.0258917,1.2517595753386732,0.9302382,1.0425768,7,0.5972525,0.27628636,0.63094765,0.15514404,0.8571428571428571,0.8571428571428571,Deep Context LSTM (No TL),6,hgb_env,Deep Context LSTM (No TL),False,0.9302382,-0.01917684,0.09316176
29812,67575,0.19760868,88,0.02146246436390625,0.06699883231336481,0.19760868,-0.16555344,0.10597026200000002,0.12636680999999997,80,-0.3633438576471034,0.8312879388907194,-0.034093324,0.12516673,-0.0071767196,0.1595769,-0.026026899,0.15260693,10.962515816989749,0.4728765823350609,0.2171172045126011,-0.09476824147138711,358,0.18029288333333335,0.015115608758221847,0.17350042999999998,0.014460583744828545,0.164783868,0.013404963674605171,0.8820624,0.8018264,0.675300445953262,0.6411422,0.73475677,10,0.9849911,0.03987139,0.6755198,0.17704104,1.0,0.8,Random Forest,6,hgb_env,Random Forest,False,0.6411422,-0.24092019,-0.14730561
29828,125300,0.6414941,18,0.03669847602832031,0.2512881899841246,0.6414941,-0.61470884,0.3594053400000001,0.4462392024999999,10,0.7652561667969914,0.5128540909641508,0.012820287,0.1365588,-0.07689291,0.13813461,0.04952775,0.13223173,10.33293315914067,0.10159921961886627,0.37467134786170414,-0.270370065819819,103,0.6154178233333333,0.022619840315431815,0.607086274,0.019800335022667696,0.573266262,0.04069833620854101,0.753002,0.7962865,0.900960438092861,0.77734727,0.80310994,11,0.41193768,0.21626109,0.60710293,0.20595142,0.45454545454545453,0.8181818181818182,Deep Context LSTM (Always TL),7,hgb_env,Deep Context LSTM (Always TL),True,0.77734727,0.024345279,0.050107956
29829,78792,0.23433611,72,0.023280494796308594,0.07372548181897058,0.23433611,-0.20343858,0.1224511155,0.14942962999999998,64,-0.08130121445861466,0.9374810588281227,0.0038717065,0.13278444,-0.00024113308,0.1683447,-0.02431211,0.1548263,9.968891458687036,0.1123079682137262,-0.8162983578831751,-0.19786688682883455,277,0.22395604666666666,0.017722830212955065,0.21313719999999997,0.0196883479683784,0.199183206,0.019898534965627334,0.71249497,0.70306057,0.7060594011925501,0.6153433,0.640215,14,0.47566065,0.30305222,0.56637317,0.24342844,0.42857142857142855,0.5714285714285714,Random Forest,6,hgb_env,Random Forest,False,0.6153433,-0.0971517,-0.07227999
29848,36514,0.25596964,83,0.014394922095214844,0.09736047413307065,0.25596964,-0.25128308,0.146518532,0.17197613649999993,75,0.06950926008289877,1.0593249925030153,-0.014620518,0.13727333,-0.0056227655,0.18917616,-0.018589519,0.15209,12.467211435180237,0.0010859023153559017,0.8442656810469863,-0.01148471540244006,226,0.24234703666666668,0.011927035135440547,0.23631102999999998,0.011878458486367238,0.225215845,0.014430720205580911,0.7225955,0.78403705,0.7529014248561615,0.7299179,0.74056554,11,0.48967856,0.26287484,0.58128786,0.22073491,0.5454545454545454,0.45454545454545453,Deep Context LSTM (No TL),5,hgb_env,Deep Context LSTM (No TL),False,0.7299179,0.007322371,0.017970026
29861,32377,0.33707836,42,-0.0009835497012695314,0.11324788017008265,0.33707836,-0.3066539,0.1484714760000001,0.19311999649999997,34,-0.15950230124173886,0.8840722989987048,-0.012714418,0.15395373,-0.03543274,0.15915628,0.011694882,0.15158187,10.329512135466585,0.09290841360652784,0.24692110619490432,-0.5165834745094551,126,0.32882859000000003,0.00839350971000216,0.320956486,0.013052891976427325,0.287841308,0.037494696897115674,0.941936,0.9091692,0.981186021502075,0.90326154,0.92437756,9,0.47831005,0.24775329,0.66247094,0.21080321,0.5555555555555556,0.7777777777777778,Deep Context LSTM (Always TL),4,hgb_env,Deep Context LSTM (Always TL),True,0.90326154,-0.038674474,-0.017558455
29908,28544,0.2268546,72,0.013216335541835936,0.08528688296546909,0.2268546,-0.1786862,0.13120470100000003,0.1627810165,64,-0.32128235178978404,0.7537310545266783,-0.016608687,0.13401346,-0.015147352,0.16140339,-0.020292839,0.15295653,10.615035117168192,0.37788312667764173,-0.4141313018712795,-0.6559654502834156,235,0.21953029000000002,0.006479735187112209,0.216042172,0.0066187588935895,0.206988895,0.010639285764789386,0.65130216,0.6554504,0.6394951624699751,0.60739714,0.6333029,13,0.6732452,0.18672317,0.7185643,0.1489678,0.8461538461538461,0.9230769230769231,Random Forest,9,hgb_env,Random Forest,False,0.60739714,-0.04390502,-0.017999232
29931,67575,0.20087205,87,0.012374786622109375,0.07221294295863237,0.20087205,-0.19806258,0.10733933400000002,0.12895930999999997,79,-0.35449611500801337,0.9148737240837287,-0.022756321,0.14591886,-0.016260797,0.17131202,-0.042096816,0.15717046,10.63485115831497,0.3737444668715703,0.07624123741637973,-0.646730361588658,583,0.18278441666666667,0.015992086466162993,0.17644875,0.014457093676605613,0.16552382799999998,0.015313833953078579,0.89183956,0.8952003,0.9283819193596344,0.8391547,0.8679313,16,0.6699368,0.2968866,0.7982822,0.20825653,0.75,0.875,Random Forest,8,hgb_env,Random Forest,False,0.8391547,-0.052684844,-0.023908257
29961,34400,0.25220582,72,0.0025997093408105473,0.074513951756163,0.25220582,-0.19603573,0.09846270150000007,0.1249512623,64,1.3948529682692345,1.3387215913143533,-0.0040737097,0.12366686,-0.0036757365,0.17922068,-0.021717748,0.15832077,9.193489099598569,0.11952165804960281,0.6177339405996537,-0.15728227627709732,67542,0.22952481333333333,0.02053737999619556,0.21673294599999998,0.02298139347208041,0.199886381,0.023660285379319315,1.3196139,1.2480906,1.1022749012908353,1.067853,1.1843455,22,0.5928336,0.2800843,0.388958,0.22715318,0.6363636363636364,0.2727272727272727,Random Forest,13,hgb_env,Random Forest,False,1.067853,-0.25176096,-0.13526845
